teamID,yearID,H
TEX,2014,1400
TEX,2015,1419
TEX,2016,1446
TOR,2002,1457
TOR,2003,1580
TOR,2004,1438
TOR,2005,1480
TOR,2006,1591
TOR,2007,1434
TOR,2008,1453
TOR,2009,1516
TOR,2010,1364
TOR,2011,1384
TOR,2012,1346
TOR,2013,1398
TOR,2014,1435
TOR,2015,1480
TOR,2016,1358
WAS,2005,1367
WAS,2006,1437
WAS,2007,1415
WAS,2008,1376
WAS,2009,1416
WAS,2010,1355
WAS,2011,1319
WAS,2012,1468
WAS,2013,1365
WAS,2014,1403
WAS,2015,1363
WAS,2016,1403
