YearID,TeamID,Salary,Adjusted Salary,Wins,ERA,Strikeouts
1991,DET,23838333,42638029,84,6.160526315789474,739
1991,HOU,12852500,22988406,65,4.830526315789474,1033
1991,KCA,26319834,47076524,82,4.422105263157895,1004
1991,LAN,32790664,58650464,93,2.48,1028
1991,MIN,23361833,41785746,95,4.21875,876
1991,ML4,23115500,41345146,83,4.804285714285714,859
1991,MON,10732333,19196205,71,4.741578947368422,909
1991,NYA,27344168,48908682,71,4.613,936
1991,NYN,32590001,58291552,77,3.482222222222222,1028
1991,OAK,36999167,66177932,84,5.335217391304348,892
1991,PHI,22487332,40221584,78,5.42,988
1991,PIT,23634667,42273746,98,4.674705882352941,919
1991,SDN,22150001,39618223,84,4.802608695652174,921
1991,SEA,15691833,28066930,83,6.722941176470588,1003
1991,SFN,30967666,55389790,75,4.568421052631579,905
1991,SLN,21860001,39099519,84,5.233333333333333,822
1991,TEX,18224500,32596942,85,5.366521739130435,1022
1991,TOR,19902417,35598120,91,5.1965,971
1992,ATL,34625333,59039098,98,3.7178947368421054,948
1992,BAL,23780667,40548032,89,3.9775,846
1992,BOS,43610584,74359705,73,4.19875,943
1992,CAL,34749334,59250530,72,4.14625,888
1992,CHA,30160833,51426751,86,3.6923076923076925,810
1992,CHN,29829686,50862118,78,4.791764705882352,901
1992,CIN,35931499,61266221,90,3.5541176470588236,1060
1992,CLE,9373044,15981826,76,5.2165,890
1992,DET,27322834,46587724,75,4.623333333333333,693
1992,HOU,15407500,26271080,81,4.5225,978
1992,KCA,33893834,57791831,72,4.534545454545455,834
1992,LAN,44788166,76367581,63,3.2985714285714285,981
1992,MIN,28027834,47789809,90,5.129411764705883,923
1992,ML4,31013667,52880905,92,3.21,793
1992,MON,15822334,26978407,87,4.996190476190476,1014
1992,NYA,37543334,64014535,76,4.633684210526316,851
1992,NYN,44602002,76050156,72,5.1626315789473685,1025
1992,OAK,41035000,69968118,96,4.228181818181818,843
1992,PHI,24383834,41576483,70,5.220833333333333,851
1992,PIT,33944167,57877653,96,3.7904761904761903,844
1992,SDN,26854167,45788608,82,3.7882352941176474,971
1992,SEA,23179833,39523560,64,5.9799999999999995,894
1992,SFN,33163168,56545984,72,3.8899999999999997,927
1992,SLN,27583836,47032755,83,3.4819999999999998,842
1992,TEX,30128167,51371053,77,5.9276,1034
1992,TOR,44788666,76368434,96,5.096470588235294,954
1993,ATL,41641417,68468766,104,4.7846153846153845,1036
1993,BAL,29096500,47841826,85,4.163888888888889,900
1993,BOS,37120583,61035399,80,3.9825,997
1993,CAL,28588334,47006276,71,4.749583333333333,843
1993,CHA,39696166,65270293,94,4.085500000000001,974
1993,CHN,39386666,64761399,84,4.115882352941177,905
1993,CIN,44879666,73793246,73,5.9383333333333335,996
1993,CLE,18561000,30518864,76,4.799230769230769,888
1993,COL,10353500,17023709,67,6.9824,913
1993,DET,38150165,62728286,85,5.423181818181818,828
1993,FLO,19330545,31784186,64,4.458333333333333,945
1993,HOU,30210500,49673517,85,3.61375,1056
1993,KCA,41346167,67983302,84,6.176,985
1993,LAN,39331999,64671513,81,3.8566666666666665,1043
1993,MIN,28217933,46397245,71,4.77375,901
1993,ML4,23806834,39144310,69,4.531666666666666,810
1993,MON,18899333,31075167,94,4.357727272727273,934
1993,NYA,42624900,70085855,88,5.5649999999999995,899
1993,NYN,39043667,64197424,59,4.404736842105263,867
1993,OAK,37812333,62172807,68,4.74,864
1993,PHI,28538334,46924064,97,4.781000000000001,1117
1993,PIT,24822467,40814261,75,5.1673913043478255,832
1993,SDN,25511333,41946927,61,4.982608695652174,957
1993,SEA,32696333,53760840,82,5.614782608695651,1083
1993,SFN,35050000,57630850,103,5.096666666666667,982
1993,SLN,23367334,38421663,87,8.08,775
1993,TEX,36376959,59812698,86,5.194285714285714,957
1993,TOR,47279166,77738617,95,4.0287500000000005,1023
1994,ATL,49383513,78604726,68,4.47,865
1994,BAL,38849769,61837955,63,4.828666666666667,666
1994,BOS,37859084,60261062,54,5.804347826086956,729
1994,CAL,25156218,40041656,47,5.658888888888889,682
1994,CHA,39183836,62369696,67,4.602857142857142,754
1994,CHN,36287333,57759274,49,4.975,717
1994,CIN,40961833,65199770,66,4.5668750000000005,799
1994,CLE,30490500,48532339,66,6.674285714285714,666
1994,COL,23887333,38021946,53,5.537222222222223,703
1994,DET,41446501,65971225,53,7.270555555555556,560
1994,FLO,21633000,34433679,51,4.963500000000001,649
1994,HOU,33126000,52727317,66,3.934615384615385,739
1994,KCA,40541334,64530453,64,4.668666666666667,717
1994,LAN,38000001,60485362,58,4.995,732
1994,MIN,28438500,45266130,53,5.8881250000000005,602
1994,ML4,24350500,38759178,53,4.848,577
1994,MON,19098000,30398669,74,8.26875,805
1994,NYA,45731334,72791480,70,6.455294117647059,656
1994,NYN,30956583,49274213,55,4.9255555555555555,640
1994,OAK,34172500,54393052,51,6.1770000000000005,732
1994,PHI,31599000,50296761,54,3.8145000000000002,699
1994,PIT,24217250,38547081,53,7.177777777777777,650
1994,SDN,14916333,23742626,47,5.11,862
1994,SEA,29228500,46523588,49,5.914499999999999,763
1994,SFN,42638666,67868818,55,5.134117647058823,655
1994,SLN,29275601,46598560,53,6.988888888888889,632
1994,TEX,32973597,52484734,52,6.425,683
1994,TOR,43433668,69134239,55,7.187647058823529,832
1995,ATL,47235445,73137747,90,4.9825,1087
1995,BAL,43942521,68039096,71,4.522173913043479,930
1995,BOS,32455518,50253013,86,7.471923076923077,888
1995,CAL,31223171,48344889,78,4.2425,901
1995,CHA,46961282,72713242,68,5.505384615384615,892
1995,CHN,29505834,45685823,73,4.838571428571429,926
1995,CIN,43144670,66803731,85,5.734999999999999,903
1995,CLE,37937835,58741645,100,4.59,926
1995,COL,34154717,52883995,77,6.237,891
1995,DET,37044168,57357922,60,6.5195454545454545,729
1995,FLO,24515781,37959396,67,5.0734615384615385,994
1995,HOU,34169834,52907401,76,4.267894736842106,1056
1995,KCA,29532834,45727629,70,5.654761904761905,763
1995,LAN,39273201,60809280,78,4.632380952380952,1060
1995,MIN,25410500,39344748,56,9.889090909090909,790
1995,ML4,17798825,27559091,65,4.617272727272727,699
1995,MON,12364000,19143994,66,5.055714285714286,950
1995,NYA,48874851,75676147,79,6.045,908
1995,NYN,27674992,42851010,69,4.152272727272727,901
1995,OAK,37739225,58434124,67,6.706521739130435,890
1995,PHI,30555945,47311779,69,4.876153846153846,980
1995,PIT,18355345,28420788,58,8.380476190476191,871
1995,SDN,26382334,40849503,70,5.0600000000000005,1047
1995,SEA,36481311,56486413,79,6.000416666666666,1068
1995,SFN,36462777,56457716,67,6.613200000000001,801
1995,SLN,37101000,57445919,62,3.869047619047619,842
1995,TEX,34581451,53544735,74,6.056363636363637,838
1995,TOR,50590000,78331825,56,6.253,894
1996,ATL,49698500,74710152,96,3.964444444444444,1245
1996,BAL,54490315,81913533,88,8.083478260869565,1047
1996,BOS,42393500,63728781,85,6.968695652173913,1165
1996,CAL,28738000,43200908,70,6.40896551724138,1052
1996,CHA,45139500,67856754,85,5.980909090909091,1039
1996,CHN,33081000,49729600,76,4.591764705882353,1027
1996,CIN,42526334,63928466,81,5.055833333333333,1089
1996,CLE,48107360,72318243,99,4.737222222222222,1033
1996,COL,40179823,60401032,83,6.765714285714286,932
1996,DET,23438000,35233589,53,8.16962962962963,957
1996,FLO,31022500,46635123,80,4.129130434782609,1050
1996,HOU,28487000,42823588,82,5.3,1163
1996,KCA,20281250,30488149,75,5.005263157894737,926
1996,LAN,35355000,53148031,90,4.020666666666667,1212
1996,MIN,23117000,34751040,78,6.258333333333334,959
1996,ML4,21730000,32666008,80,5.796250000000001,846
1996,MON,16264500,24449898,88,4.471666666666667,1206
1996,NYA,54191792,81464773,92,6.1937500000000005,1139
1996,NYN,24479500,36799243,71,4.822941176470588,999
1996,OAK,21243000,31933916,78,6.2090000000000005,884
1996,PHI,34314500,51583881,67,6.0808,1044
1996,PIT,23017500,34601465,73,5.4128,1044
1996,SDN,28348172,42614892,91,3.7905263157894735,1194
1996,SEA,41328501,62127802,85,6.0548,1000
1996,SFN,37144725,55838467,68,4.9725,997
1996,SLN,40269667,60536091,88,5.521111111111111,1050
1996,TEX,39041528,58689870,90,4.53,976
1996,TOR,29555083,44429203,74,5.705,1033
1997,ANA,31135472,45574441,84,5.071428571428571,1050
1997,ATL,52278500,76522476,101,3.3929411764705883,1196
1997,BAL,58516400,85653181,98,4.92,1139
1997,BOS,43558750,63758972,78,5.507999999999999,987
1997,CHA,57740000,84516728,80,5.050909090909091,961
1997,CHN,42155333,61704725,68,5.091904761904762,1072
1997,CIN,49768000,72847740,76,5.852799999999999,1159
1997,CLE,56802460,83144407,86,5.064761904761904,1036
1997,COL,43559667,63760314,83,6.077826086956521,870
1997,DET,17272000,25281831,79,6.833,982
1997,FLO,48692500,71273481,92,4.668,1188
1997,HOU,34777500,50905447,84,4.420555555555556,1138
1997,KCA,34655000,50726138,67,5.2948,961
1997,LAN,45380304,66425265,88,4.099375,1232
1997,MIN,34072500,49873505,68,6.498333333333333,908
1997,ML4,23655338,34625420,78,5.242857142857143,1016
1997,MON,19295500,28243722,78,7.012380952380952,1138
1997,NYA,62241545,91105849,96,5.063888888888888,1165
1997,NYN,39800400,58257700,88,4.861428571428571,982
1997,OAK,24018500,35156997,65,6.200769230769231,953
1997,PHI,36656500,53655827,68,5.5230434782608695,1209
1997,PIT,10771667,15766990,79,4.674285714285714,1080
1997,SDN,37363672,54690947,76,5.812857142857142,1059
1997,SEA,41540661,60805001,90,6.633333333333333,1207
