index,yearID,teamID,W,L
2271,1998,CHN,90,73
2272,1998,CIN,77,85
2273,1998,CLE,89,73
2274,1998,COL,77,85
2275,1998,DET,65,97
2276,1998,FLO,54,108
2277,1998,HOU,102,60
2278,1998,KCA,72,89
2279,1998,LAN,83,79
2280,1998,MIL,74,88
2281,1998,MIN,70,92
2282,1998,MON,65,97
2283,1998,NYA,114,48
2284,1998,NYN,88,74
2285,1998,OAK,74,88
2286,1998,PHI,75,87
2287,1998,PIT,69,93
2288,1998,SDN,98,64
2289,1998,SEA,76,85
2290,1998,SFN,89,74
2291,1998,SLN,83,79
2292,1998,TBA,63,99
2293,1998,TEX,88,74
2294,1998,TOR,88,74
2295,1999,ANA,70,92
2296,1999,ARI,100,62
2297,1999,ATL,103,59
2298,1999,BAL,78,84
2299,1999,BOS,94,68
2300,1999,CHA,75,86
2301,1999,CHN,67,95
2302,1999,CIN,96,67
2303,1999,CLE,97,65
2304,1999,COL,72,90
2305,1999,DET,69,92
2306,1999,FLO,64,98
2307,1999,HOU,97,65
2308,1999,KCA,64,97
2309,1999,LAN,77,85
2310,1999,MIL,74,87
2311,1999,MIN,63,97
2312,1999,MON,68,94
2313,1999,NYA,98,64
2314,1999,NYN,97,66
2315,1999,OAK,87,75
2316,1999,PHI,77,85
2317,1999,PIT,78,83
2318,1999,SDN,74,88
2319,1999,SEA,79,83
2320,1999,SFN,86,76
2321,1999,SLN,75,86
2322,1999,TBA,69,93
2323,1999,TEX,95,67
2324,1999,TOR,84,78
2325,2000,ANA,82,80
2326,2000,ARI,85,77
2327,2000,ATL,95,67
2328,2000,BAL,74,88
2329,2000,BOS,85,77
2330,2000,CHA,95,67
2331,2000,CHN,65,97
2332,2000,CIN,85,77
2333,2000,CLE,90,72
2334,2000,COL,82,80
2335,2000,DET,79,83
2336,2000,FLO,79,82
2337,2000,HOU,72,90
2338,2000,KCA,77,85
2339,2000,LAN,86,76
2340,2000,MIL,73,89
2341,2000,MIN,69,93
2342,2000,MON,67,95
2343,2000,NYA,87,74
2344,2000,NYN,94,68
2345,2000,OAK,91,70
2346,2000,PHI,65,97
2347,2000,PIT,69,93
2348,2000,SDN,76,86
2349,2000,SEA,91,71
2350,2000,SFN,97,65
2351,2000,SLN,95,67
2352,2000,TBA,69,92
2353,2000,TEX,71,91
2354,2000,TOR,83,79
2355,2001,ANA,75,87
2356,2001,ARI,92,70
2357,2001,ATL,88,74
2358,2001,BAL,63,98
2359,2001,BOS,82,79
2360,2001,CHA,83,79
2361,2001,CHN,88,74
2362,2001,CIN,66,96
2363,2001,CLE,91,71
2364,2001,COL,73,89
2365,2001,DET,66,96
2366,2001,FLO,76,86
2367,2001,HOU,93,69
2368,2001,KCA,65,97
2369,2001,LAN,86,76
2370,2001,MIL,68,94
2371,2001,MIN,85,77
2372,2001,MON,68,94
2373,2001,NYA,95,65
2374,2001,NYN,82,80
2375,2001,OAK,102,60
2376,2001,PHI,86,76
2377,2001,PIT,62,100
2378,2001,SDN,79,83
2379,2001,SEA,116,46
2380,2001,SFN,90,72
2381,2001,SLN,93,69
2382,2001,TBA,62,100
2383,2001,TEX,73,89
