teamID,yearID,H
SDN,2002,1393
TBA,2002,1418
MON,2002,1432
ARI,2002,1471
HOU,2002,1441
CHA,2002,1475
NYN,2002,1409
TOR,2002,1457
SLN,2002,1475
KCA,2002,1415
TEX,2002,1510
OAK,2002,1450
COL,2002,1508
PHI,2002,1428
BAL,2002,1353
SEA,2002,1531
CHN,2002,1351
LAN,2002,1464
MIL,2002,1369
DET,2002,1340
BOS,2002,1560
FLO,2003,1459
TOR,2003,1580
BAL,2003,1516
MIL,2003,1423
MON,2003,1404
OAK,2003,1398
ARI,2003,1467
PHI,2003,1448
HOU,2003,1466
SFN,2003,1440
CHN,2003,1431
NYA,2003,1518
CHA,2003,1445
LAN,2003,1328
ANA,2003,1473
DET,2003,1312
SLN,2003,1580
TEX,2003,1506
PIT,2003,1492
CIN,2003,1349
COL,2003,1472
KCA,2003,1526
MIN,2003,1567
SEA,2003,1509
ATL,2003,1608
SDN,2003,1442
TBA,2003,1501
NYN,2003,1317
BOS,2003,1667
CLE,2003,1413
BOS,2004,1613
NYN,2004,1376
CHN,2004,1508
DET,2004,1531
KCA,2004,1432
NYA,2004,1483
FLO,2004,1447
CLE,2004,1565
LAN,2004,1450
ATL,2004,1503
CHA,2004,1481
SEA,2004,1544
ANA,2004,1603
MIN,2004,1494
SLN,2004,1544
PHI,2004,1505
SFN,2004,1500
TEX,2004,1492
CIN,2004,1380
SDN,2004,1521
OAK,2004,1545
TBA,2004,1416
BAL,2004,1614
MON,2004,1361
ARI,2004,1401
PIT,2004,1428
COL,2004,1531
TOR,2004,1438
HOU,2004,1458
MIL,2004,1358
SEA,2005,1408
WAS,2005,1367
SFN,2005,1427
TEX,2005,1528
SDN,2005,1416
NYN,2005,1421
OAK,2005,1476
TBA,2005,1519
SLN,2005,1494
PIT,2005,1445
PHI,2005,1494
TOR,2005,1480
MIL,2005,1413
COL,2005,1477
ARI,2005,1419
LAN,2005,1374
LAA,2005,1520
MIN,2005,1441
KCA,2005,1445
HOU,2005,1400
FLO,2005,1499
BAL,2005,1492
ATL,2005,1453
CLE,2005,1522
CIN,2005,1453
DET,2005,1521
NYA,2005,1552
CHN,2005,1506
BOS,2005,1579
CHA,2005,1450
CHN,2006,1496
OAK,2006,1429
BAL,2006,1556
LAN,2006,1552
TEX,2006,1571
PHI,2006,1518
LAA,2006,1539
