yearID,teamID,salary,adjusted_salary
1998,ATL,61186000,87461718
1998,BAL,72355634,103428040
1998,BOS,56757000,81130728
1998,CHA,38335000,54797583
1998,CHN,50838000,72669872
1998,CIN,23005000,32884268
1998,CLE,60800166,86910191
1998,COL,50484648,72164777
1998,DET,24065000,34399474
1998,FLO,41322667,59068274
1998,HOU,42374000,60571092
1998,KCA,36862500,52692733
1998,LAN,48820000,69785262
1998,MIL,33914904,48479321
1998,MIN,27927500,39920686
1998,MON,10641500,15211386
1998,NYA,66806867,95496410
1998,NYN,52077999,74442376
1998,OAK,21303000,30451361
1998,PHI,36297500,51885099
1998,PIT,15065000,21534514
1998,SDN,46861500,66985704
1998,SEA,54087036,77314174
1998,SFN,42565834,60845307
1998,SLN,54672521,78151090
1998,TBA,27280000,38995124
1998,TEX,56572095,80866417
1998,TOR,51376000,73438911
1999,ANA,55388166,77394000
1999,ARI,68703999,96000241
1999,ATL,73140000,102198674
1999,BAL,80605863,112630740
1999,BOS,63497500,88725189
1999,CHA,25620000,35798879
1999,CHN,62343000,87112004
1999,CIN,33962761,47456236
1999,CLE,72978462,101972957
1999,COL,61935837,86543074
1999,DET,36489666,50987086
1999,FLO,21085000,29462114
1999,HOU,54914000,76731446
1999,KCA,26225000,36644247
1999,LAN,80862453,112989274
1999,MIL,43377395,60611324
1999,MIN,21257500,29703149
1999,MON,17903000,25015899
1999,NYA,86734359,121194101
1999,NYN,65092092,90953316
1999,OAK,24431833,34138651
1999,PHI,31692500,44283996
1999,PIT,24697666,34510100
1999,SDN,49768179,69541180
1999,SEA,54125003,75628979
1999,SFN,46595057,65107370
1999,SLN,49778195,69555175
1999,TBA,38870000,54313132
1999,TEX,76709931,107186946
1999,TOR,45444333,63499461
2000,ANA,51464167,70431917
2000,ARI,81027833,110891635
2000,ATL,84537836,115695293
2000,BAL,81447435,111465887
2000,BOS,77940333,106666199
2000,CHA,31133500,42608133
2000,CHN,60539333,82851847
2000,CIN,46867200,64140682
2000,CLE,75880771,103847561
2000,COL,61111190,83634469
2000,DET,58265167,79739509
2000,FLO,19872000,27196069
2000,HOU,51289111,70192342
2000,KCA,23433000,32069519
2000,LAN,87924286,120329861
2000,MIL,36505333,49959821
