yearID,teamID,lgID,salary,adjusted_salary
2001,CHN,NL,64715833,86491843
2001,CIN,NL,48986000,65469132
2001,CLE,AL,93152001,124496401
2001,COL,NL,71541334,95614034
2001,DET,AL,53416167,71389991
2001,FLO,NL,35762500,47796102
2001,HOU,NL,60612667,81008017
2001,KCA,AL,35422500,47341696
2001,LAN,NL,109105953,145818644
2001,MIL,NL,43886833,58654164
2001,MIN,AL,24130000,32249421
2001,MON,NL,35159500,46990200
2001,NYA,AL,112287143,150070262
2001,NYN,NL,93174428,124526374
2001,OAK,AL,33810750,45187614
2001,PHI,NL,41663833,55683154
2001,PIT,NL,57760833,77196579
2001,SDN,NL,39182833,52367331
2001,SEA,AL,74720834,99863393
2001,SFN,NL,63280167,84573095
2001,SLN,NL,78538333,104965429
2001,TBA,AL,56980000,76153006
2001,TEX,AL,88633500,118457485
2001,TOR,AL,76895999,102770472
2002,ANA,AL,61721667,80399786
2002,ARI,NL,102819999,133935235
2002,ATL,NL,92870367,120974660
2002,BAL,AL,60493487,78799936
2002,BOS,AL,108366060,141159636
2002,CHA,AL,57052833,74318076
2002,CHN,NL,75690833,98596280
2002,CIN,NL,45050390,58683472
2002,CLE,AL,78909449,102788909
2002,COL,NL,56851043,74055221
2002,DET,AL,55048000,71706544
2002,FLO,NL,41979917,54683817
2002,HOU,NL,63448417,82649083
2002,KCA,AL,47257000,61557843
2002,LAN,NL,94850953,123554608
2002,MIL,NL,50287833,65505862
2002,MIN,AL,40425000,52658353
2002,MON,NL,38670500,50372909
2002,NYA,AL,125928583,164036904
2002,NYN,NL,94633593,123271470
2002,OAK,AL,40004167,52110168
2002,PHI,NL,57954999,75493255
2002,PIT,NL,42323599,55131503
2002,SDN,NL,41425000,53960972
2002,SEA,AL,80282668,104577690
2002,SFN,NL,78299835,101994815
2002,SLN,NL,74660875,97254638
2002,TBA,AL,34380000,44784024
2002,TEX,AL,105526122,137460280
2002,TOR,AL,76864333,100124903
2003,ANA,AL,79031667,100535266
2003,ARI,NL,80657000,102602834
2003,ATL,NL,106243667,135151336
2003,BAL,AL,73877500,93978710
2003,BOS,AL,99946500,127140783
2003,CHA,AL,51010000,64889229
2003,CHN,NL,79868333,101599579
2003,CIN,NL,59355667,75505655
2003,CLE,AL,48584834,61804203
2003,COL,NL,67179667,85458475
2003,DET,AL,49168000,62546042
2003,FLO,NL,49450000,62904771
2003,HOU,NL,71040000,90369159
2003,KCA,AL,40518000,51542477
2003,LAN,NL,105572620,134297705
2003,MIL,NL,40627000,51681135
2003,MIN,AL,55505000,70607266
2003,MON,NL,51948500,66083084
2003,NYA,AL,152749814,194311266
2003,NYN,NL,116876429,148677149
2003,OAK,AL,50260834,63936223
2003,PHI,NL,70780000,90038416
2003,PIT,NL,54812429,69726255
2003,SDN,NL,45210000,57511116
2003,SEA,AL,86959167,110619747
2003,SFN,NL,82852167,105395280
2003,SLN,NL,83786666,106584045
2003,TBA,AL,19630000,24971095
2003,TEX,AL,103491667,131650549
2003,TOR,AL,51269000,65218700
2004,ANA,AL,100534667,126123258
2004,ARI,NL,69780750,87541698
2004,ATL,NL,90182500,113136205
2004,BAL,AL,51623333,64762764
2004,BOS,AL,127298500,159699156
2004,CHA,AL,65212500,81810714
2004,CHN,NL,90560000,113609788
2004,CIN,NL,46615250,58479998
2004,CLE,AL,34319300,43054421
2004,COL,NL,65445167,82102601
2004,DET,AL,46832000,58751917
2004,FLO,NL,42143042,52869501
2004,HOU,NL,75397000,94587425
2004,KCA,AL,47609000,59726683
2004,LAN,NL,92902001,116547887
2004,MIL,NL,27528500,34535192
2004,MIN,AL,53585000,67223724
2004,MON,NL,40897500,51306938
2004,NYA,AL,184193950,231075924
2004,NYN,NL,96660970,121263608
2004,OAK,AL,59425667,74550987
2004,PHI,NL,92919167,116569422
2004,PIT,NL,32227929,40430744
2004,SDN,NL,55384833,69481660
2004,SEA,AL,81515834,102263655
2004,SFN,NL,82019166,102895098
2004,SLN,NL,83228333,104412028
